LoanID,CustomerID,LoanAmount,InterestRate,Tenure,EMI,PaidEMIs,DefaultFlag,Age,Salary,City,CreditScore,Outstanding,DebtToIncome,LoanUtilization,ExpectedLoss,MeetsHardCriteria,RiskScore
L148,148,410000,12.7,48,10600,12,1,27,59000,Mumbai,555,381600,2.1559322033898303,0.9307317073170732,171720.0,False,76.47
L124,124,430000,11.9,60,9500,23,1,27,56000,Chennai,560,351500,2.0357142857142856,0.8174418604651162,158175.0,False,74.56
L180,180,650000,11.0,72,11600,28,1,26,53000,Chennai,610,510400,2.6264150943396225,0.7852307692307692,229680.0,False,73.03
L108,108,420000,13.5,60,9700,28,1,31,72000,Kolkata,540,310400,1.6166666666666667,0.7390476190476191,139680.0,False,72.31
L136,136,390000,12.9,48,10300,17,1,30,70000,Chennai,570,319300,1.7657142857142858,0.8187179487179487,143685.0,False,71.22
L198,198,590000,11.3,72,11600,25,1,28,60000,Kochi,660,545200,2.32,0.9240677966101695,245340.0,False,68.56
L196,196,280000,13.3,36,9500,5,1,32,76000,Noida,620,294500,1.5,1.0517857142857143,132525.0,False,67.96
L128,128,680000,11.1,84,12000,41,1,38,101000,Pune,600,516000,1.425742574257426,0.7588235294117647,232200.0,False,65.26
L151,151,350000,13.1,36,11200,7,1,32,78000,Delhi,645,324800,1.7230769230769232,0.928,146160.0,False,64.9
L155,155,530000,11.9,60,11600,20,1,39,117000,Ahmedabad,610,464000,1.1897435897435897,0.8754716981132076,208800.0,False,62.73
L183,183,510000,12.2,60,11300,17,1,37,97000,Pune,655,485900,1.397938144329897,0.9527450980392157,218655.0,False,62.4
L117,117,2750000,8.5,360,21200,260,0,28,61000,Pune,695,2120000,4.170491803278689,0.7709090909090909,0.0,False,61.51
L164,164,420000,12.3,48,10400,16,1,31,75000,Kolkata,670,332800,1.664,0.7923809523809524,149760.0,False,61.39
L142,142,450000,12.1,60,10200,18,1,35,93000,Kolkata,670,428400,1.3161290322580645,0.952,192780.0,False,60.89
L169,169,270000,13.0,36,9200,6,1,38,102000,Bangalore,655,276000,1.0823529411764705,1.0222222222222221,124200.0,False,60.49
L190,190,610000,11.5,72,11800,22,1,36,90000,Chennai,730,590000,1.5733333333333333,0.9672131147540983,265500.0,False,57.82
L103,103,350000,11.5,48,9200,18,1,29,65000,Hyderabad,720,276000,1.6984615384615385,0.7885714285714286,124200.0,False,57.66
L113,113,750000,10.8,84,12600,48,1,33,76000,Chennai,720,453600,1.9894736842105265,0.6048,204120.0,False,57.21
L192,192,1550000,8.9,180,15000,126,0,27,58000,Mumbai,605,810000,3.103448275862069,0.5225806451612903,0.0,False,56.09
L177,177,320000,12.8,36,10300,9,1,30,70000,Ahmedabad,745,278100,1.7657142857142858,0.8690625,125145.0,False,56.05
